age,workclass,fnlwgt,education,native-country
51, Self-emp-inc,189183, Bachelors, United-States
46, Local-gov,199281, Bachelors, United-States
52, Private,286342, HS-grad, United-States
50, Private,152810, Bachelors, United-States
26, Self-emp-inc,176981, Bachelors, United-States
17, Private,117549, 10th, United-States
64, Private,254797, Some-college, United-States
51, Private,133336, HS-grad, United-States
28, Self-emp-not-inc,182826, HS-grad, United-States
51, Private,136224, Bachelors, United-States
39, Self-emp-not-inc,134475, Bachelors, United-States
48, Private,272778, Some-college, United-States
44, Private,279183, Some-college, United-States
47, Private,110243, 11th, United-States
52, Private,202071, HS-grad, United-States
58, Private,197642, Some-college, United-States
19, Private,125591, 11th, United-States
40, Private,197462, Bachelors, United-States
23, Private,238831, Some-college, United-States
31, Private,182177, Bachelors, Yugoslavia
40, Local-gov,240504, Assoc-acdm, United-States
48, Self-emp-inc,125892, Some-college, United-States
46, Private,154430, Masters, United-States
32, Private,207685, HS-grad, United-States
50, Private,222020, HS-grad, United-States
18, Private,243240, HS-grad, United-States
26, Private,158734, Masters, United-States
36, Private,257691, Bachelors, United-States
26, Private,144483, Assoc-voc, United-States
19, Private,209826, Some-college, United-States
53, Private,30244, Assoc-acdm, United-States
54, Private,133050, Some-college, United-States
29, Private,138332, Some-college, United-States
81, Private,201398, Masters, ?
37, Private,526968, Masters, United-States
40, Private,79036, Assoc-voc, United-States
36, Private,240323, Some-college, United-States
18, Private,270544, 12th, United-States
44, State-gov,199551, 11th, United-States
36, Private,231052, HS-grad, United-States
69, State-gov,203072, Doctorate, United-States
17, Private,126771, 12th, United-States
38, Private,31848, Assoc-voc, United-States
27, Private,328981, HS-grad, United-States
52, Private,159670, Assoc-acdm, United-States
24, Private,450695, Assoc-acdm, United-States
57, Private,182028, Bachelors, United-States
19, Private,349620, 10th, United-States
38, Private,161066, HS-grad, United-States
46, Private,213611, 7th-8th, Guatemala
21, Private,548303, HS-grad, Mexico
29, Private,150861, Some-college, Japan
33, ?,335625, Some-college, United-States
26, Private,133766, HS-grad, United-States
28, Private,200511, HS-grad, United-States
26, Private,50103, Some-college, United-States
37, ?,148266, Prof-school, Mexico
49, Private,177211, Bachelors, United-States
28, Private,132686, Bachelors, United-States
57, Federal-gov,21626, Some-college, United-States
60, Private,52900, 7th-8th, United-States
20, ?,150084, HS-grad, United-States
38, Private,248886, HS-grad, United-States
51, Self-emp-not-inc,118259, HS-grad, United-States
60, Private,145493, Some-college, United-States
37, Private,219546, Bachelors, United-States
44, Federal-gov,399155, HS-grad, United-States
19, Self-emp-not-inc,227310, Some-college, United-States
59, Private,333270, Masters, Philippines
50, Private,231495, HS-grad, United-States
35, Federal-gov,133935, Bachelors, United-States
46, Federal-gov,55237, Some-college, United-States
18, Private,183034, Some-college, United-States
32, Private,245487, 5th-6th, Mexico
32, Private,185480, Assoc-voc, United-States
39, Private,114251, HS-grad, United-States
25, Private,181814, HS-grad, United-States
30, Private,340917, Masters, United-States
37, Private,241998, Bachelors, United-States
38, Self-emp-inc,125324, Some-college, United-States
36, Private,34744, Assoc-acdm, United-States
56, Private,131608, Some-college, United-States
35, Federal-gov,226916, Bachelors, United-States
56, Private,124137, HS-grad, United-States
17, Private,96282, 10th, United-States
46, Private,337050, Masters, United-States
56, Private,229335, HS-grad, United-States
61, State-gov,199495, 12th, United-States
25, Private,111675, Some-college, United-States
27, Private,139209, HS-grad, United-States
50, Self-emp-not-inc,32372, HS-grad, United-States
33, Self-emp-not-inc,203784, Assoc-voc, United-States
33, Private,164190, Assoc-voc, United-States
38, Private,64875, Some-college, United-States
51, Private,41806, 11th, United-States
27, Private,208725, Assoc-acdm, United-States
49, Local-gov,79019, Masters, United-States
26, Private,136951, HS-grad, United-States
42, Private,203554, Masters, United-States
37, Private,252947, Bachelors, United-States
38, Private,170861, Some-college, United-States
48, Private,199590, HS-grad, Mexico
41, Private,529216, Bachelors, ?
33, Private,195576, HS-grad, United-States
30, Private,182177, HS-grad, Ireland
25, State-gov,183678, Bachelors, United-States
50, Private,209320, Bachelors, United-States
54, Self-emp-inc,206862, HS-grad, United-States
37, Private,168941, 11th, United-States
59, Self-emp-not-inc,201263, Bachelors, United-States
17, Private,75333, 10th, United-States
65, ?,299494, 11th, United-States
56, Self-emp-not-inc,163212, HS-grad, United-States
57, Private,139290, HS-grad, United-States
33, Private,400416, 10th, United-States
41, Self-emp-not-inc,223763, Masters, United-States
45, Private,77927, Bachelors, Philippines
50, Private,175804, HS-grad, United-States
18, Private,91525, HS-grad, United-States
19, Private,279968, Some-college, United-States
26, Private,77698, Some-college, United-States
61, ?,198686, Assoc-acdm, United-States
67, ?,190340, 11th, United-States
41, Private,113491, Some-college, United-States
29, Private,202878, HS-grad, United-States
27, Private,108431, Some-college, United-States
35, Private,194490, HS-grad, United-States
37, Private,48093, Bachelors, United-States
22, Private,136824, 11th, United-States
25, Private,143280, 10th, United-States
26, Private,150062, HS-grad, United-States
27, Local-gov,298510, HS-grad, United-States
26, Private,177147, Bachelors, United-States
51, Private,115025, HS-grad, United-States
45, Private,350440, HS-grad, United-States
60, Private,83850, HS-grad, United-States
35, Private,62669, Some-college, United-States
24, Private,229773, HS-grad, United-States
40, Local-gov,196234, HS-grad, Puerto-Rico
69, ?,163595, HS-grad, United-States
44, Private,157249, Bachelors, United-States
65, Private,80174, HS-grad, United-States
52, Self-emp-inc,49069, Some-college, United-States
38, Private,122952, HS-grad, United-States
18, Private,123856, 11th, United-States
24, Private,216181, Assoc-voc, United-States
52, Private,180062, Some-college, United-States
21, Private,188535, HS-grad, United-States
67, Self-emp-not-inc,106143, Doctorate, United-States
64, Self-emp-not-inc,170421, Some-college, United-States
25, Private,283087, Some-college, United-States
34, Federal-gov,341051, Masters, United-States
39, Self-emp-not-inc,34378, HS-grad, United-States
26, Private,380674, HS-grad, United-States
19, Private,304469, 10th, United-States
35, Private,99146, HS-grad, United-States
26, Private,205109, Masters, United-States
38, Private,99156, HS-grad, United-States
45, Private,97842, Some-college, United-States
18, Private,100875, 11th, United-States
51, Private,200576, Some-college, United-States
36, Private,355053, HS-grad, United-States
18, Private,118376, Some-college, ?
37, Local-gov,117760, Assoc-voc, United-States
37, Private,117567, Bachelors, United-States
39, Federal-gov,189632, HS-grad, United-States
21, Private,170108, Some-college, United-States
46, State-gov,27243, Doctorate, United-States
33, Private,192663, HS-grad, United-States
23, Private,526164, Bachelors, United-States
52, Self-emp-not-inc,146579, HS-grad, United-States
28, Private,60288, HS-grad, United-States
23, State-gov,241951, Some-college, United-States
48, Self-emp-inc,213140, Some-college, United-States
17, Private,218124, 11th, United-States
22, Self-emp-not-inc,279802, Some-college, United-States
26, Private,153078, HS-grad, ?
40, Private,167919, HS-grad, United-States
90, Private,250832, 10th, United-States
28, Private,193158, HS-grad, United-States
44, Private,172032, HS-grad, United-States
29, Private,39484, Bachelors, United-States
45, Private,84298, Assoc-voc, United-States
43, Private,269015, HS-grad, Germany
17, ?,262196, 10th, United-States
49, Federal-gov,125892, Bachelors, United-States
27, Private,134890, Bachelors, United-States
60, Self-emp-not-inc,261119, HS-grad, United-States
33, Private,119409, HS-grad, Columbia
53, Self-emp-not-inc,118793, 10th, United-States
19, Private,184207, Some-college, United-States
28, Self-emp-not-inc,191027, HS-grad, United-States
22, Private,207782, Assoc-acdm, United-States
48, Self-emp-not-inc,209146, HS-grad, United-States
76, ?,79445, 10th, United-States
19, Private,187724, Some-college, United-States
28, Private,66777, Assoc-voc, United-States
58, Private,158002, Some-college, United-States
19, Self-emp-not-inc,305834, Some-college, United-States
37, ?,122265, HS-grad, ?
22, Private,211798, Some-college, United-States
52, Self-emp-not-inc,123011, Prof-school, United-States
31, Private,36302, Bachelors, United-States
50, Self-emp-not-inc,176867, Doctorate, United-States
62, Private,169204, HS-grad, United-States
26, Private,38232, Bachelors, United-States
64, State-gov,277657, HS-grad, United-States
38, Private,32271, Some-college, United-States
44, Private,116825, Prof-school, United-States
28, Self-emp-not-inc,226198, HS-grad, United-States
19, Private,28145, HS-grad, United-States
39, Private,140477, HS-grad, United-States
50, Private,165050, 10th, United-States
39, Self-emp-inc,202937, Masters, United-States
36, Private,316298, Bachelors, United-States
39, Private,203070, Assoc-voc, United-States
51, Self-emp-inc,103995, Assoc-acdm, United-States
28, Private,176137, HS-grad, United-States
57, Self-emp-not-inc,103948, Prof-school, United-States
40, Local-gov,39581, Prof-school, United-States
27, Private,506436, Some-college, Peru
32, Private,226975, Some-college, United-States
49, State-gov,154493, HS-grad, United-States
34, Self-emp-not-inc,137223, 10th, United-States
24, Private,102323, HS-grad, United-States
54, Private,257765, 7th-8th, Guatemala
52, Private,42924, 12th, United-States
43, Private,167599, 11th, United-States
84, ?,368925, 5th-6th, United-States
79, ?,100881, Assoc-acdm, United-States
35, Private,52738, Some-college, United-States
56, Private,98418, HS-grad, United-States
30, Private,381153, HS-grad, United-States
54, Private,103700, HS-grad, United-States
35, Private,298635, Bachelors, United-States
32, Private,127895, Some-college, United-States
44, Self-emp-inc,212760, Bachelors, United-States
32, Private,281384, HS-grad, United-States
60, Private,181200, 12th, United-States
40, Private,257364, Some-college, United-States
50, Private,283281, 7th-8th, United-States
58, Private,214502, 9th, United-States
41, Private,69333, HS-grad, United-States
28, Private,190060, HS-grad, United-States
53, Private,95864, HS-grad, United-States
71, ?,144872, Some-college, United-States
17, ?,275778, 9th, Mexico
45, Private,27332, HS-grad, United-States
23, Private,24395, HS-grad, United-States
25, Private,330695, Some-college, United-States
40, Self-emp-not-inc,171615, Some-college, United-States
28, Private,116372, Bachelors, United-States
27, Private,38599, 12th, United-States
19, Local-gov,202184, Some-college, United-States
24, Private,315303, HS-grad, United-States
38, Private,103456, Bachelors, United-States
24, State-gov,163480, Masters, United-States
18, Private,317425, 11th, United-States
58, Private,216941, HS-grad, United-States
35, Private,116541, Masters, United-States
43, Private,186396, 9th, United-States
45, Private,273194, HS-grad, United-States
24, Private,385540, HS-grad, Mexico
63, Private,201631, 9th, United-States
40, Private,439919, 9th, Mexico
21, Private,182117, Bachelors, United-States
20, State-gov,334113, Some-college, United-States
42, Private,184837, HS-grad, United-States
49, ?,228372, Some-college, United-States
47, Federal-gov,211123, HS-grad, United-States
48, Self-emp-inc,38819, HS-grad, United-States
61, Private,162391, 7th-8th, United-States
23, ?,302836, Assoc-acdm, El-Salvador
35, State-gov,89040, Bachelors, United-States
46, Private,264210, Some-college, United-States
18, Private,87157, 12th, United-States
28, Self-emp-not-inc,398918, Bachelors, United-States
62, ?,123612, Bachelors, United-States
20, Private,155818, HS-grad, United-States
28, Private,243660, HS-grad, United-States
57, Private,134195, HS-grad, United-States
56, Private,238638, 7th-8th, United-States
33, Private,159929, HS-grad, United-States
19, Private,198668, HS-grad, United-States
29, Private,215504, HS-grad, United-States
30, Private,158002, Some-college, Ecuador
53, Local-gov,35305, Bachelors, United-States
25, Private,195994, 1st-4th, Guatemala
44, State-gov,321824, HS-grad, United-States
22, Private,180449, Some-college, United-States
40, Private,201764, HS-grad, United-States
25, Private,250038, Assoc-voc, ?
30, Self-emp-not-inc,226535, 7th-8th, Mexico
51, Private,136121, Assoc-voc, United-States
17, Private,47199, 11th, United-States
46, Local-gov,215895, Bachelors, United-States
50, State-gov,24647, Some-college, United-States
34, Private,734193, Some-college, United-States
42, ?,321086, Masters, United-States
41, Federal-gov,192589, Bachelors, United-States
32, Private,326283, Bachelors, United-States
32, Private,207284, HS-grad, United-States
47, Private,109089, Some-college, United-States
50, Private,274528, Some-college, United-States
77, Private,142646, 7th-8th, United-States
33, Private,180859, HS-grad, United-States
47, Self-emp-inc,188610, HS-grad, United-States
64, Private,169604, 11th, United-States
34, Private,260560, HS-grad, United-States
34, Local-gov,188245, HS-grad, United-States
67, Local-gov,103315, Masters, United-States
37, Local-gov,52465, HS-grad, United-States
34, Private,737315, Bachelors, United-States
22, ?,195143, Some-college, United-States
50, Self-emp-not-inc,219420, Doctorate, United-States
60, Private,198170, Bachelors, United-States
46, Local-gov,183168, Bachelors, United-States
44, Private,196545, Bachelors, United-States
43, Private,168412, HS-grad, Poland
48, Private,174386, Masters, El-Salvador
36, Private,544686, HS-grad, Nicaragua
48, Private,95661, Some-college, United-States
37, Private,468713, Some-college, United-States
51, Private,169112, Masters, United-States
52, Private,74024, Masters, United-States
27, Private,110622, 5th-6th, Vietnam
43, Local-gov,33331, Masters, United-States
23, Private,181557, HS-grad, United-States
66, Private,142624, Assoc-acdm, Yugoslavia
37, Self-emp-not-inc,192251, 10th, United-States
35, Private,146091, Some-college, United-States
42, Local-gov,174575, Bachelors, United-States
49, Private,200949, 10th, Peru
51, Local-gov,201560, Bachelors, United-States
71, Federal-gov,149386, HS-grad, United-States
50, Local-gov,168672, Masters, United-States
63, Private,38352, HS-grad, United-States
41, State-gov,180272, Masters, United-States
24, State-gov,275421, Some-college, United-States
41, Local-gov,173051, Some-college, United-States
33, Local-gov,167474, Assoc-acdm, United-States
42, Local-gov,267138, Some-college, United-States
23, Private,135138, Bachelors, United-States
49, Private,218357, Assoc-voc, United-States
28, Self-emp-not-inc,107236, 12th, United-States
31, Private,138416, 5th-6th, Mexico
28, Private,154863, Bachelors, United-States
37, Private,194004, 11th, United-States
19, Private,339123, Some-college, United-States
51, Local-gov,548361, Bachelors, United-States
25, Private,101812, Assoc-voc, United-States
49, Self-emp-inc,127111, HS-grad, United-States
47, Private,171807, HS-grad, United-States
48, Local-gov,40666, HS-grad, United-States
41, Local-gov,340682, HS-grad, United-States
32, Private,175052, HS-grad, United-States
26, ?,321629, HS-grad, United-States
46, Private,154405, HS-grad, United-States
17, Private,108402, 10th, United-States
34, Private,346275, 11th, United-States
44, Private,42476, HS-grad, United-States
23, Private,161708, Assoc-acdm, United-States
35, Private,70447, Some-college, United-States
30, Private,189759, Bachelors, United-States
65, ?,137354, Some-college, United-States
34, Private,250724, Bachelors, Jamaica
34, Federal-gov,149368, Prof-school, United-States
39, Private,154641, Assoc-voc, United-States
28, Private,38309, Assoc-voc, United-States
53, Local-gov,202733, Masters, United-States
34, Private,56150, 11th, United-States
21, Private,260254, HS-grad, United-States
53, Private,108083, 7th-8th, United-States
54, Self-emp-not-inc,71344, Masters, United-States
32, Private,174215, Some-college, United-States
39, State-gov,114366, Bachelors, United-States
39, Private,158962, Some-college, United-States
29, Private,179498, HS-grad, Germany
29, Private,31935, HS-grad, United-States
43, Private,149909, HS-grad, United-States
20, ?,58740, Some-college, United-States
39, Private,216552, Masters, United-States
45, Private,255348, Some-college, United-States
36, Private,176050, Some-college, United-States
71, ?,125101, Assoc-voc, United-States
62, ?,197286, HS-grad, United-States
43, Local-gov,337469, Some-college, Mexico
31, Private,159737, HS-grad, United-States
39, Private,316211, HS-grad, United-States
32, Private,127610, Bachelors, United-States
45, Local-gov,556652, HS-grad, United-States
19, Private,265576, HS-grad, United-States
43, Private,347653, Some-college, United-States
32, Private,62374, Assoc-voc, United-States
43, Self-emp-not-inc,170230, Bachelors, United-States
34, Private,203051, Bachelors, United-States
66, Self-emp-inc,115880, Some-college, United-States
37, Private,167735, Assoc-voc, United-States
46, Self-emp-inc,181413, Assoc-acdm, United-States
23, Private,185554, Bachelors, United-States
41, Private,350387, Bachelors, United-States
63, Private,225102, HS-grad, ?
55, Private,105582, HS-grad, United-States
35, Self-emp-not-inc,350247, Prof-school, United-States
28, Private,150025, 9th, ?
37, Private,107737, Bachelors, United-States
63, ?,334741, HS-grad, United-States
43, Private,115562, Bachelors, United-States
30, Self-emp-not-inc,131584, Assoc-voc, United-States
36, Local-gov,95855, Masters, United-States
54, Private,391016, Bachelors, United-States
36, Federal-gov,51089, Bachelors, United-States
78, Self-emp-inc,188044, Bachelors, United-States
77, Private,117898, Bachelors, United-States
28, Private,70240, HS-grad, Philippines
39, Self-emp-not-inc,187693, HS-grad, United-States
37, Private,341672, Bachelors, Philippines
34, Private,208043, Assoc-voc, United-States
22, Local-gov,289982, Bachelors, United-States
54, Private,76344, Bachelors, United-States
21, Private,200973, Some-college, United-States
36, Private,111377, 10th, United-States
62, Self-emp-not-inc,136684, HS-grad, United-States
40, Private,176716, Some-college, United-States
47, Self-emp-not-inc,166894, Some-college, United-States
38, Private,243872, Bachelors, United-States
28, Private,155621, 5th-6th, Columbia
46, Private,102597, Bachelors, United-States
22, Private,60331, Some-college, United-States
37, Private,75024, HS-grad, Canada
69, Private,174474, 10th, Peru
43, Private,145441, Bachelors, United-States
53, Private,83434, Bachelors, Japan
20, Private,691830, HS-grad, United-States
22, Private,189203, Bachelors, United-States
48, Private,115784, 9th, United-States
40, Federal-gov,280167, Masters, United-States
68, ?,407338, Some-college, United-States
39, Private,52978, Some-college, United-States
57, Private,169329, HS-grad, Trinadad&Tobago
23, Private,315065, 10th, Mexico
25, Local-gov,167835, Bachelors, United-States
22, Private,63105, HS-grad, United-States
23, Private,520775, 12th, United-States
41, Local-gov,47902, Bachelors, United-States
25, Private,145434, Some-college, United-States
58, Private,56392, Some-college, United-States
33, Private,162312, HS-grad, Japan
28, Private,204074, Masters, United-States
19, Private,99246, 11th, United-States
44, Private,102085, Some-college, United-States
68, Private,168794, Preschool, United-States
33, State-gov,332379, HS-grad, United-States
24, Private,233419, HS-grad, United-States
44, Self-emp-not-inc,57233, HS-grad, United-States
38, Private,192337, Bachelors, United-States
31, Private,442429, HS-grad, Mexico
29, Private,369114, HS-grad, United-States
65, Private,261334, 9th, United-States
55, Private,160303, HS-grad, United-States
49, Private,50474, HS-grad, United-States
27, Private,321577, HS-grad, United-States
41, Private,29591, HS-grad, United-States
33, Self-emp-not-inc,334744, Some-college, United-States
22, Self-emp-not-inc,269474, HS-grad, United-States
41, Private,287306, HS-grad, United-States
66, Private,33619, HS-grad, United-States
38, Private,149347, Some-college, United-States
43, Private,96249, HS-grad, United-States
